SR_VILLAGE,ROUND_NO,SCHEDULE_NO,SAMPLE,SECTOR,STATE_REGION,DISTRICT_CD,STRATUM_NO,SUB_STRAT_NO,SUB_ROUND_NO,SUB_SAMPLE_NO,FOD,HG_SB_NO,SSS_NO,SAMPLE_HH_NO,SR_NO_INFORMANT,RESPONSE_CODE,SURVEY_CD,REASON_CD,SRL_NO,ELE_NO,BLK,ROUND,ID_KEY
43652,71,252,2,2,271,24,64,1,1,2,0,1,2,2,1,1,1,,1,1,1,71,974094
43652,71,252,2,2,271,24,64,1,1,2,0,1,3,1,1,1,2,2,1,1,1,71,974095
43652,71,252,2,2,271,24,64,1,1,2,0,2,1,1,2,1,1,,1,1,1,71,974096
43652,71,252,2,2,271,24,64,1,1,2,0,2,2,1,2,1,1,,1,1,1,71,974097
43652,71,252,2,2,271,24,64,1,1,2,0,2,2,2,1,1,1,,1,1,1,71,974098
43652,71,252,2,2,271,24,64,1,1,2,0,2,3,1,1,1,2,2,1,1,1,71,974099
43845,71,252,2,2,271,21,58,3,2,2,0,1,1,1,2,1,1,,1,1,1,71,974100
43845,71,252,2,2,271,21,58,3,2,2,0,1,1,2,2,1,1,,1,1,1,71,974101
43845,71,252,2,2,271,21,58,3,2,2,0,1,2,1,6,1,1,,1,1,1,71,974102
43845,71,252,2,2,271,21,58,3,2,2,0,1,2,2,2,1,1,,1,1,1,71,974103
43845,71,252,2,2,271,21,58,3,2,2,0,1,2,4,1,1,1,,1,1,1,71,974105
43845,71,252,2,2,271,21,58,3,2,2,0,1,3,1,2,1,1,,1,1,1,71,974106
43845,71,252,2,2,271,21,58,3,2,2,0,1,3,2,2,1,2,2,1,1,1,71,974107
43840,71,252,2,2,271,21,57,6,2,2,0,1,1,1,1,1,1,,1,1,1,71,974108
43609,71,252,2,2,271,22,63,3,1,2,0,1,1,1,1,1,1,,1,1,1,71,965678
43820,71,252,2,2,273,20,53,4,2,1,0,1,3,1,1,1,1,,1,1,1,71,967108
43820,71,252,2,2,273,20,53,4,2,1,0,1,2,4,2,1,1,,1,1,1,71,967109
43820,71,252,2,2,273,20,53,4,2,1,0,1,2,2,2,1,1,,1,1,1,71,967110
43820,71,252,2,2,273,20,53,4,2,1,0,1,1,2,1,1,1,,1,1,1,71,967111
43820,71,252,2,2,273,20,53,4,2,1,0,1,1,1,2,1,1,,1,1,1,71,967112
43820,71,252,2,2,273,20,53,4,2,1,0,1,2,1,1,1,1,,1,1,1,71,967113
43741,71,252,2,2,273,20,20,2,2,1,0,1,2,4,3,1,1,,1,1,1,71,967115
43741,71,252,2,2,273,20,20,2,2,1,0,1,2,3,2,1,1,,1,1,1,71,967116
34482,71,252,2,1,273,3,3,1,2,1,0,1,2,2,5,1,1,,1,1,1,71,967122
34482,71,252,2,1,273,3,3,1,2,1,0,1,1,2,3,1,1,,1,1,1,71,967123
34482,71,252,2,1,273,3,3,1,2,1,0,1,1,1,3,1,1,,1,1,1,71,967124
34486,71,252,2,1,273,3,3,5,2,1,0,1,3,1,1,1,1,,1,1,1,71,967125
34486,71,252,2,1,273,3,3,5,2,1,0,1,2,2,2,1,1,,1,1,1,71,967126
34486,71,252,2,1,273,3,3,5,2,1,0,2,2,2,1,1,1,,1,1,1,71,967127
